Name,Date,Ticket date,Line of Product,Region,Quantity,Sales
Felipe Mendes,2026-08-20,2026-08-20,Eletrônicos,Centro-Oeste,4,2750.00
Camila Alves,2026-08-22,2026-08-22,Casa e Cozinha,Sudeste,1,410.00
Diego Dias,2026-08-25,2026-08-25,Livros,Norte,1,95.00
Sabrina Ramos,2026-08-28,2026-08-28,Roupas,Sul,1,280.00
Alexandre Pinto,2026-09-01,2026-09-01,Eletrônicos,Sudeste,3,1980.00
Priscilla Duarte,2026-09-03,2026-09-03,Casa e Cozinha,Nordeste,1,350.00
Leonardo Lima,2026-09-05,2026-09-05,Livros,Centro-Oeste,1,160.00
Vanessa Martins,2026-09-08,2026-09-08,Roupas,Sudeste,2,440.00
Rodrigo Costa,2026-09-10,2026-09-10,Eletrônicos,Norte,4,2500.00
Patrícia Rocha,2026-09-12,2026-09-12,Casa e Cozinha,Sul,2,610.00
Marcos Mendes,2026-09-15,2026-09-15,Livros,Sudeste,1,120.00
Jessica Alves,2026-09-18,2026-09-18,Roupas,Nordeste,1,310.00
Matheus Dias,2026-09-20,2026-09-20,Eletrônicos,Centro-Oeste,3,1650.00
Tatiane Ramos,2026-09-22,2026-09-22,Casa e Cozinha,Sudeste,2,480.00
Felipe Pinto,2026-09-25,2026-09-25,Livros,Norte,1,105.00
Camila Duarte,2026-09-28,2026-09-28,Roupas,Sul,1,390.00
Diego Lima,2026-10-02,2026-10-02,Eletrônicos,Sudeste,3,2100.00
Sabrina Martins,2026-10-05,2026-10-05,Casa e Cozinha,Nordeste,2,520.00
Alexandre Costa,2026-10-08,2026-10-08,Livros,Centro-Oeste,1,145.00
Priscilla Rocha,2026-10-10,2026-10-10,Roupas,Sudeste,1,270.00
Leonardo Mendes,2026-10-12,2026-10-12,Eletrônicos,Norte,3,1750.00
Vanessa Alves,2026-10-15,2026-10-15,Casa e Cozinha,Sul,1,390.00
Rodrigo Dias,2026-10-18,2026-10-18,Livros,Sudeste,1,85.00
Patrícia Ramos,2026-10-20,2026-10-20,Roupas,Nordeste,1,340.00
Marcos Pinto,2026-10-22,2026-10-22,Eletrônicos,Centro-Oeste,5,2950.00
Jessica Duarte,2026-10-25,2026-10-25,Casa e Cozinha,Sudeste,1,460.00
Matheus Lima,2026-10-28,2026-10-28,Livros,Norte,1,115.00
